Year,County, Code,Deaths,Population,Crude Rate
2010,Monroe ,39111,172,14642,1174.7
2010,Montgomery ,39113,5653,535153,1056.3
2010,Morgan ,39115,152,15054,1009.7
2010,Morrow ,39117,298,34827,855.7
2010,Muskingum ,39119,925,86074,1074.7
2010,Noble ,39121,120,14645,819.4
2010,Ottawa ,39123,444,41428,1071.7
2010,Paulding ,39125,183,19614,933
2010,Perry ,39127,321,36058,890.2
2010,Pickaway ,39129,497,55698,892.3
2010,Pike ,39131,292,28709,1017.1
2010,Portage ,39133,1307,161419,809.7
2010,Preble ,39135,439,42270,1038.6
2010,Putnam ,39137,308,34499,892.8
2010,Richland ,39139,1315,124475,1056.4
2010,Ross ,39141,813,78064,1041.5
2010,Sandusky ,39143,655,60944,1074.8
2010,Scioto ,39145,948,79499,1192.5
2010,Seneca ,39147,527,56745,928.7
2010,Shelby ,39149,377,49423,762.8
2010,Stark ,39151,3952,375586,1052.2
2010,Summit ,39153,5334,541781,984.5
2010,Trumbull ,39155,2360,210312,1122.1
2010,Tuscarawas ,39157,928,92582,1002.4
2010,Union ,39159,317,52300,606.1
2010,Van Wert ,39161,256,28744,890.6
2010,Vinton ,39163,118,13435,878.3
2010,Warren ,39165,1398,212693,657.3
2010,Washington ,39167,632,61778,1023
2010,Wayne ,39169,1027,114520,896.8
2010,Williams ,39171,374,37642,993.6
2010,Wood ,39173,989,125488,788.1
2010,Wyandot ,39175,214,22615,946.3
2011,Adams ,39001,307,28456,1078.9
2011,Allen ,39003,1051,106094,990.6
2011,Ashland ,39005,531,53153,999
2011,Ashtabula ,39007,1179,101345,1163.4
2011,Athens ,39009,507,64769,782.8
2011,Auglaize ,39011,462,45838,1007.9
2011,Belmont ,39013,923,70151,1315.7
2011,Brown ,39015,465,44687,1040.6
2011,Butler ,39017,3077,369999,831.6
2011,Carroll ,39019,312,28782,1084
2011,Champaign ,39021,394,39795,990.1
2011,Clark ,39023,1660,137691,1205.6
2011,Clermont ,39025,1504,199139,755.3
2011,Clinton ,39027,456,41927,1087.6
2011,Columbiana ,39029,1198,107570,1113.7
2011,Coshocton ,39031,398,36955,1077
2011,Crawford ,39033,506,43389,1166.2
2011,Cuyahoga ,39035,13825,1270294,1088.3
2011,Darke ,39037,567,52809,1073.7
2011,Defiance ,39039,386,38884,992.7
2011,Delaware ,39041,860,178341,482.2
2011,Erie ,39043,918,76751,1196.1
2011,Fairfield ,39045,1109,147066,754.1
2011,Fayette ,39047,357,28985,1231.7
2011,Franklin ,39049,8650,1178799,733.8
2011,Fulton ,39051,372,42510,875.1
2011,Gallia ,39053,347,30970,1120.4
2011,Geauga ,39055,738,93228,791.6
2011,Greene ,39057,1302,162846,799.5
2011,Guernsey ,39059,425,39927,1064.4
2011,Hamilton ,39061,7769,800362,970.7
2011,Hancock ,39063,702,75056,935.3
2011,Hardin ,39065,300,32020,936.9
2011,Harrison ,39067,183,15850,1154.6
2011,Henry ,39069,277,28064,987
